Tipe,Name,icons_name,Desciption,n1,Reagent 1,n2,Reagent 2,n3,Reagent 3,n4,Reagent 4,Icons,icons_img
Flask,Flask of Fortification,https://wow.zamimg.com/images/wow/icons/large/inv_potion_119.jpg,(500 hp 10 def),1,Fel Lotus,3,Mana Thistle,7,Ancient Lichen,1,Imbued Vial,Fel Lotus,https://wow.zamimg.com/images/wow/icons/large/inv_misc_herb_fellotus.jpg
Flask,Flask of Chromatic Wonder,https://wow.zamimg.com/images/wow/icons/large/inv_potion_48.jpg,(35 all resi 18 all stats),1,Fel Lotus,3,Netherbloom,7,Dreaming Glory,1,Imbued Vial,Mana Thistle,https://wow.zamimg.com/images/wow/icons/large/inv_misc_herb_manathistle.jpg
Flask,Flask of Mighty Restoration,https://wow.zamimg.com/images/wow/icons/large/inv_potion_118.jpg,(25 mp5),1,Fel Lotus,3,Mana Thistle,7,Dreaming Glory,1,Imbued Vial,Ancient Lichen,https://wow.zamimg.com/images/wow/icons/large/inv_misc_herb_ancientlichen.jpg
Flask,Flask of Distilled Wisdom,https://wow.zamimg.com/images/wow/icons/large/inv_potion_97.jpg,(65 int),1,Black Lotus,3,Icecap,7,Dreamfoil,1,Crystal Vial,Netherbloom,https://wow.zamimg.com/images/wow/icons/large/inv_misc_herb_netherbloom.jpg
Flask,Flask of Relentless Assault,https://wow.zamimg.com/images/wow/icons/large/inv_potion_117.jpg,(120 atk power),1,Fel Lotus,3,Mana Thistle,7,Terocone,1,Imbued Vial,Dreaming Glory,https://wow.zamimg.com/images/wow/icons/large/inv_misc_herb_dreamingglory.jpg
Flask,Flask of Blinding Light,https://wow.zamimg.com/images/wow/icons/large/inv_potion_116.jpg,(80 arcane holy nature dmg),1,Fel Lotus,3,Mana Thistle,7,Netherbloom,1,Imbued Vial,Black Lotus,https://wow.zamimg.com/images/wow/icons/large/inv_misc_herb_blacklotus.jpg
Flask,Flask of Pure Death,https://wow.zamimg.com/images/wow/icons/large/inv_potion_115.jpg,(80 shadow fire frost dmg),1,Fel Lotus,3,Mana Thistle,7,Nightmare Vine,1,Imbued Vial,Icecap,https://wow.zamimg.com/images/wow/icons/large/inv_misc_herb_icecap.jpg
Flask,Flask of Supreme Power,https://wow.zamimg.com/images/wow/icons/large/inv_potion_41.jpg,(70 spell dmg),1,Black Lotus,3,Mountain Silversage,7,Dreamfoil,1,Crystal Vial,Dreamfoil,https://wow.zamimg.com/images/wow/icons/large/inv_misc_herb_dreamfoil.jpg
Elixir,Elixir of Major Defense,https://wow.zamimg.com/images/wow/icons/large/inv_potion_122.jpg,(550 armor),3,Ancient Lichen,1,Terocone,1,Imbued Vial,,,Terocone,https://wow.zamimg.com/images/wow/icons/large/inv_misc_herb_terrocone.jpg
Elixir,Elixir of Major Fortitude,https://wow.zamimg.com/images/wow/icons/large/inv_potion_158.jpg,(250 hp 10 hp5),2,Ragveil,1,Felweed,1,Imbued Vial,,,Nightmare Vine,https://wow.zamimg.com/images/wow/icons/large/inv_misc_herb_nightmarevine.jpg
Elixir,Elixir of Mastery,https://wow.zamimg.com/images/wow/icons/large/inv_potion_111.jpg,(15 all stats),3,Terocone,1,Felweed,1,Imbued Vial,,,Mountain Silversage,https://wow.zamimg.com/images/wow/icons/large/inv_misc_herb_mountainsilversage.jpg
Elixir,Elixir of Ironskin,https://wow.zamimg.com/images/wow/icons/large/inv_potion_159.jpg,(30 resi),1,Ancient Lichen,1,Ragveil,1,Imbued Vial,,,Ragveil,https://wow.zamimg.com/images/wow/icons/large/inv_misc_herb_ragveil.jpg
Elixir,Elixir of Healing Power,https://wow.zamimg.com/images/wow/icons/large/inv_potion_142.jpg,(50 healing),1,Golden Sansam,1,Dreaming Glory,1,Imbued Vial,,,Felweed,https://wow.zamimg.com/images/wow/icons/large/inv_misc_herb_felweed.jpg
